name,description,url,Caliber,System,Mag. Capacity,Barrel Length,Trigger Pull***,Weight_without_magazine,Weight_with_empty_magazine,Weight_with_loaded_magazine,Dimension_LENGTH (OVERALL)*,Dimension_SLIDE LENGTH,Dimension_WIDTH (OVERALL),Dimension_SLIDE WIDTH,Dimension_HEIGHT INCL. MAG.,Dimension_,Dimension_Sight Radius POLYMER,Dimension_Sight Radius STEEL,Dimension_Sight Radius GNS,Dimension_TRIGGER DISTANCE*
G22,GLOCK cutaway models are produced for technical and firearms’ training and clearly illustrate the ingeniously simple internal mechanisms of the GLOCK pistol.,https://eu.glock.com/en/products/pistols/g22-cut,40 S&W,Safe Action®,Standard:,114 mm | 4.49 inch,28 N,without magazine | 540 g | 19.05 oz,with empty magazine | 615 g | 21.69 oz,with loaded magazine** | —,204 mm | 8.03 inch,186 mm | 7.32 inch,32 mm | 1.26 inch,"25,5 mm | 1.0 inch",139 mm | 5.47 inch,,165 mm | 6.50 inch,164 mm | 6.46 inch,163 mm | 6.42 inch,"71,5 mm | 2.81 inch"
G22P,"Proper grip, loading and unloading, sight alignment, trigger squeeze and disassembling are all part of a shooter's training routine. The GLOCK Practice Pistol was developed to eliminate dangerous scenarios during training exercises. Identical to a GLOCK pistol in handling, weight, size and balance, it puts the real thing in your hand, without any firing capability.",https://eu.glock.com/en/products/pistols/g22-p,40 S&W,Safe Action®,Standard: 15,114 mm | 4.49 inch,28 N,without magazine | 650 g | 22.93 oz,with empty magazine | 730 g | 25.75 oz,with loaded magazine** | 980 g | 34.57 oz,204 mm | 8.03 inch,186 mm | 7.32 inch,32 mm | 1.26 inch,"25,5 mm | 1.0 inch",139 mm | 5.47 inch,,165 mm | 6.50 inch,164 mm | 6.46 inch,163 mm | 6.42 inch,"71,5 mm | 2.81 inch"
G23,GLOCK cutaway models are produced for technical and firearms’ training and clearly illustrate the ingeniously simple internal mechanisms of the GLOCK pistol.,https://eu.glock.com/en/products/pistols/g23-cut,40 S&W,Safe Action®,Standard:,102 mm | 4.02 inch,28 N,without magazine | 505 g | 17.81 oz,with empty magazine | 570 g | 20.11 oz,with loaded magazine** | —,187 mm | 7.36 inch,174 mm | 6.85 inch,32 mm | 1.26 inch,"25,5 mm | 1.0 inch",128 mm | 5.04 inch,,153 mm | 6.02 inch,152 mm | 5.98 inch,151 mm | 5.94 inch,"71,2 mm | 2.80 inch"
G23P,"Proper grip, loading and unloading, sight alignment, trigger squeeze and disassembling are all part of a shooter's training routine. The GLOCK Practice Pistol was developed to eliminate dangerous scenarios during training exercises. Identical to a GLOCK pistol in handling, weight, size and balance, it puts the real thing in your hand, without any firing capability.",https://eu.glock.com/en/products/pistols/g23-p,40 S&W,Safe Action®,Standard: 13,102 mm | 4.02 inch,28 N,without magazine | 605 g | 21.34 oz,with empty magazine | 675 g | 23.81 oz,with loaded magazine** | 895 g | 31.57 oz,187 mm | 7.36 inch,174 mm | 6.85 inch,32 mm | 1.26 inch,"25,5 mm | 1.0 inch",128 mm | 5.04 inch,,153 mm | 6.02 inch,152 mm | 5.98 inch,151 mm | 5.94 inch,"71,2 mm | 2.80 inch"
G20,"The G20 Gen5 MOS delivers formidable force downrange with high accuracy over long distance. The use of GLOCK hi-tech polymer considerably reduces felt recoil even in this heavy caliber. For the hunting community this 10 mm Auto is a reliable companion providing a safe and accurate finishing shot, even when hunting big game.",https://eu.glock.com/en/products/pistols/g20-gen5-mos,10 mm Auto,Safe Action®,Standard: 15,117 mm I 4.61 inch,26 N,without magazine | 755 g I 26.63 oz,with empty magazine | 845 g I 29.81 oz,with loaded magazine** | 1100 g I 38.80 oz,205 mm I 8.07 inch,191 mm I 7.52 inch,35 mm I 1.38 inch,"28,5 mm I 1.12 inch",140 mm I 5.51 inch,,176 mm I 6.93 inch,175 mm I 6.89 inch,174 mm I 6.85 inch,"72,5 mm I 2.85 inch"
G20,You can now get the olive-green version of this model in 10mm Auto. The standard-size pistol comes with an extended ambidextrous slide stop lever and an extended reversible magazine catch for easier operation. This Hunter Edition model is equipped with a standard magazine floor plate.,https://eu.glock.com/en/products/pistols/g20-gen5-mos-hunter-edition,10 mm Auto,Safe Action®,Standard: 15,117 mm I 4.61 inch,26 N,without magazine | 755 g I 26.63 oz,with empty magazine | 845 g I 29.81 oz,with loaded magazine** | 1100 g I 38.80 oz,205 mm I 8.07 inch,191 mm I 7.52 inch,35 mm I 1.38 inch,28.5 mm I 1.12 inch,140 mm I 5.51 inch,,176 mm I 6.93 inch,175 mm I 6.89 inch,174 mm I 6.85 inch,72.5 mm I 2.85 inch
G29,"The G29 Gen5 offers the concealment of a subcompact pistol while delivering the raw, long-range power of the ‘magnum force’
10 mm Auto cartridge with ease.",https://eu.glock.com/en/products/pistols/g29-gen5,10 mm Auto,Safe Action®,Standard: 10,96 mm I 3.78 inch,26 N,without magazine | 690 g I 24.34 oz,with empty magazine | 760 g I 26.81 oz,with loaded magazine** | 930 g I 32.80 oz,176 mm I 6.93 inch,170 mm I 6.69 inch,35 mm I 1.38 inch,28.5 mm I 1.12 inch,115 mm I 4.53 inch,,150 mm I 5.91 inch,149 mm I 5.87 inch,148 mm I 5.83 inch,72.5 mm I 2.85 inch
G21,"Remarkable for its accuracy and light recoil, the GLOCK 21 Gen5 MOS delivers the power of the 45 Auto round with high magazine capacity. The 45 Auto caliber has since long been regarded with a special reverence. Many shooters feel a special relationship with this timeless caliber. The GLOCK 21 Gen5 presents everything one would expect of a 45 Auto pistol.",https://eu.glock.com/en/products/pistols/g21-gen5-mos,45 Auto,Safe Action®,Standard: 13 | Optional: 10,117 mm I 4.61 inch,26 N,without magazine | 735 g I 25.93 oz,with empty magazine | 825 g I 29.10 oz,with loaded magazine** | 1095 g I 38.62 oz,205 mm I 8.07 inch,191 mm I 7.52 inch,35 mm I 1.38 inch,"28,5 mm I 1.12 inch",140 mm I 5.51 inch,,176 mm I 6.93 inch,175 mm I 6.89 inch,174 mm I 6.85 inch,"72,5 mm I 2.85 inch"
G30,The G30 Gen5 in 45 Auto offers excellent out-of-the-box precision paired with the ballistic quality of this caliber. The Gen5 design of this small easy-to-shoot package combines a shorter trigger reach with a great magazine capacity.,https://eu.glock.com/en/products/pistols/g30-gen5,45 Auto,Safe Action®,Standard: 10,96 mm I 3.78 inch,26 N,without magazine | 675 g I 23.81 oz,with empty magazine | 745 g I 26.28 oz,with loaded magazine** | 955 g I 33.69 oz,177 mm I 6.97 inch,170 mm I 6.69 inch,35 mm I 1.38 inch,28.5 mm I 1.12 inch,122 mm I 4.80 inch,,150 mm I 5.91 inch,149 mm I 5.87 inch,148 mm I 5.83 inch,72.5 mm I 2.85 inch
G25,"Because of its small dimensions, equal to those of the GLOCK 19, the GLOCK 25 in the low-recoil .380 caliber can be comfortably carried concealed.",https://eu.glock.com/en/products/pistols/g25,380 Auto,Safe Action®,Standard: 15 | Optional: 17,102 mm | 4.02 inch,28 N,without magazine | 575 g | 20.28 oz,with empty magazine | 645 g | 22.75 oz,with loaded magazine** | 785 g | 27.69 oz,187 mm | 7.36 inch,174 mm | 6.85 inch,32 mm | 1.26 inch,"25,5 mm | 1.0 inch",128 mm | 5.04 inch,,153 mm | 6.02 inch,152 mm | 5.98 inch,151 mm | 5.94 inch,"71,2 mm | 2.80 inch"
G42,"For those discerning shooters who desired the smallest GLOCK possible, the company responded with the now popular G42 in 380 AUTO with ultra-compact dimensions and easy-to-shoot characteristics. The G42 packs all the features GLOCK customers have come to appreciate - from the GLOCK Safe Action System with its multiple integrated safety features to the brand’s proven reliability and durability.",https://eu.glock.com/en/products/pistols/g42,380 Auto,Safe Action®,Standard: 6,"82,5 mm | 3.25 inch",24 N,without magazine | 345 g | 12.17 oz,with empty magazine | 390 g | 13.76 oz,with loaded magazine** | 450 g | 15.87 oz,151 mm | 5.94 inch,146 mm | 5.75 inch,25 mm | 0.98 inch,21 mm | 0.83 inch,105 mm | 4.13 inch,,125 mm | 4.92 inch,124 mm | 4.88 inch,123 mm | 4.84 inch,61 mm | 2.40 inch
G17T,"The GLOCK Training pistols were developed for the purpose of enabling reality-based tactical operations training with color marking or plastic bullet ammunition. Designed specifically for use with either FX®/FOF or UTX ammunition, this pistol offers the same ergonomics and touch-and-feel which officers and soldiers are familiar with their service pistol.
This GLOCK Safe Action training pistol is distinctive blue with a revolutionary slide with polymer inserts in order to make it visually distinct and light weight. This distinctive color keeps the training pistol from being mistaken for a live fire weapon.",https://eu.glock.com/en/products/pistols/g17-t-fx-fof,Training ammunition,Safe Action®,Standard: 17 | Optional: 19,114 mm | 4.49 inch,28 N,without magazine | 470 g | 16.58 oz,with empty magazine | 550 g | 19.40 oz,with loaded magazine** | 625 g | 22.05 oz,204 mm | 8.03 inch,186 mm | 7.32 inch,32 mm | 1.26 inch,"25,5 mm | 1.0 inch",139 mm | 5.47 inch,,165 mm | 6.50 inch,164 mm | 6.46 inch,163 mm | 6.42 inch,72 mm | 2.83 inch
G17T,"The GLOCK Training pistols were developed for the purpose of enabling reality-based tactical operations training with color marking or plastic bullet ammunition. Designed specifically for use with either FX/FOF or UTX ammunition, this pistol offers the same ergonomics and touch-and-feel which officers and soldiers are familiar with their service pistol.
This GLOCK Safe Action training pistol is distinctive blue with a revolutionary slide with polymer inserts in order to make it visually distinct and light weight. This distinctive color keeps the training pistol from being mistaken for a live fire weapon.",https://eu.glock.com/en/products/pistols/g17-t-gen4-fx-fof,Training ammunition,Safe Action®,Standard: 17 | Optional: 19,114 mm | 4.49 inch,28 N,without magazine | 470 g | 16.58 oz,with empty magazine | 550 g | 19.40 oz,with loaded magazine** | 625 g | 22.05 oz,202 mm | 7.95 inch,186 mm | 7.32 inch,32 mm | 1.26 inch,"25,5 mm | 1.0 inch",139 mm | 5.47 inch,,165 mm | 6.50 inch,164 mm | 6.46 inch,163 mm | 6.42 inch,70 mm | 2.76 inch
G17T,"The GLOCK Training pistols were developed for the purpose of enabling reality-based tactical operations training with color marking or plastic bullet ammunition. Designed specifically for use with either FX/FOF or UTX ammunition, this optic ready pistol offers the same ergonomics and touch-and-feel which officers and soldiers are familiar with their service pistol.
This GLOCK Safe Action training pistol is distinctive blue with a revolutionary slide with polymer inserts in order to make it visually distinct and light weight. This distinctive color keeps the training pistol from being mistaken for a live fire weapon.",https://eu.glock.com/en/products/pistols/g17-t-gen5-mos-fx-fof,Training ammunition,Safe Action®,Standard: 17 | Optional: 19,114 mm | 4.49 inch,26 N,without magazine | 480 g | 16.93 oz,with empty magazine | 560 g | 19.75 oz,with loaded magazine** | 630 g | 22.22 oz,202 mm | 7.95 inch,186 mm | 7.32 inch,34 mm | 1.34 inch,"25,5 mm | 1.0 inch",139 mm | 5.47 inch,,169 mm | 6.65 inch,168 mm | 6.61 inch,167 mm | 6.57 inch,70 mm | 2.76 inch
G17T,"The GLOCK Training pistols were developed for the purpose of enabling reality-based tactical operations training with color marking or plastic bullet ammunition. Designed specifically for use with UTM ammunition, this optic ready pistol offers the same ergonomics and touch-and-feel which officers and soldiers are familiar with their service pistol. This GLOCK Safe Action training pistol is distinctive blue with a revolutionary slide with polymer inserts in order to make it visually distinct and light weight. This distinctive color keeps the training pistol from being mistaken for a live fire weapon.",https://eu.glock.com/en/products/pistols/g17-t-gen5-mos-utm,Training ammunition,Safe Action®,Standard: 17 | Optional: 19,114 mm | 4.49 inch,26 N,without magazine | 480 g | 16.93 oz,with empty magazine | 560 g | 19.75 oz,with loaded magazine** | 630 g | 22.22 oz,202 mm | 7.95 inch,186 mm | 7.32 inch,34 mm | 1.34 inch,"25,5 mm | 1.0 inch",139 mm | 5.47 inch,,169 mm | 6.65 inch,168 mm | 6.61 inch,167 mm | 6.57 inch,70 mm | 2.76 inch
G17T,"The GLOCK Training pistols were developed for the purpose of enabling reality-based tactical operations training with color marking or plastic bullet ammunition. Designed specifically for use with UTM ammunition, this pistol offers the same ergonomics and touch-and-feel which officers and soldiers are familiar with their service pistol. This GLOCK Safe Action  training pistol has a blue frame in order to make it visually distinct. This distinctive color keeps the training pistol from being mistaken for a live fire weapon.",https://eu.glock.com/en/products/pistols/g17-t-utm,Training ammunition,Safe Action®,Standard: 17 | Optional: 19,114 mm | 4.49 inch,28 N,without magazine | 615 g | 21.69 oz,with empty magazine | 700 g | 24.69 oz,with loaded magazine** | 765 g | 26.98 oz,204 mm | 8.03 inch,186 mm | 7.32 inch,32 mm | 1.26 inch,"25,5 mm | 1.0 inch",139 mm | 5.47 inch,,165 mm | 6.50 inch,164 mm | 6.46 inch,163 mm | 6.42 inch,72 mm | 2.83 inch
G19T,"The GLOCK Training pistols were developed for the purpose of enabling reality-based tactical operations training with color marking or plastic bullet ammunition. Designed specifically for use with either FX®/FOF or UTX ammunition, this pistol offers the same ergonomics and touch-and-feel which officers and soldiers are familiar with their service pistol.
This GLOCK Safe Action training pistol is distinctive blue with a revolutionary slide with polymer inserts in order to make it visually distinct and light weight. This distinctive color keeps the training pistol from being mistaken for a live fire weapon.",https://eu.glock.com/en/products/pistols/g19-t-fx-fof,Training ammunition,Safe Action®,Standard: 15 | Optional: 17,102 mm | 4.02 inch,28 N,without magazine | 440 g | 15.52 oz,with empty magazine | 510 g | 17.99 oz,with loaded magazine** | 580 g | 20.46 oz,187 mm | 7.36 inch,174 mm | 6.85 inch,32 mm | 1.26 inch,"25,5 mm | 1.0 inch",128 mm | 5.04 inch,,153 mm | 6.02 inch,152 mm | 5.98 inch,151 mm | 5.94 inch,"71,2 mm | 2.80 inch"
G19T,"The GLOCK Training pistols were developed for the purpose of enabling reality-based tactical operations training with color marking or plastic bullet ammunition. Designed specifically for use with either FX/FOF or UTX ammunition, this pistol offers the same ergonomics and touch-and-feel which officers and soldiers are familiar with their service pistol.
This GLOCK Safe Action training pistol is distinctive blue with a revolutionary slide with polymer inserts in order to make it visually distinct and light weight. This distinctive color keeps the training pistol from being mistaken for a live fire weapon.",https://eu.glock.com/en/products/pistols/g19-t-gen4-fx-fof,Training ammunition,Safe Action®,Standard: 15 | Optional: 17,102 mm | 4.02 inch,28 N,without magazine | 440 g | 15.52 oz,with empty magazine | 510 g | 17.99 oz,with loaded magazine** | 580 g | 20.46 oz,185 mm | 7.28 inch,174 mm | 6.85 inch,32 mm | 1.26 inch,"25,5 mm | 1.0 inch",128 mm | 5.04 inch,,153 mm | 6.02 inch,152 mm | 5.98 inch,151 mm | 5.94 inch,70 mm | 2.76 inch
G19T,"The GLOCK Training pistols were developed for the purpose of enabling reality-based tactical operations training with color marking or plastic bullet ammunition. Designed specifically for use with either FX/FOF or UTX ammunition, this optic ready pistol offers the same ergonomics and touch-and-feel which officers and soldiers are familiar with their service pistol.
This GLOCK Safe Action training pistol is distinctive blue with a revolutionary slide with polymer inserts in order to make it visually distinct and light weight. This distinctive color keeps the training pistol from being mistaken for a live fire weapon.",https://eu.glock.com/en/products/pistols/g19-t-gen5-mos-fx-fof,Training ammunition,Safe Action®,Standard: 15 | Optional: 17,102 mm | 4.02 inch,26 N,without magazine | 465 g | 16.40 oz,with empty magazine | 535 g | 18.87 oz,with loaded magazine** | 605 g | 21.34 oz,185 mm | 7.28 inch,174 mm | 6.85 inch,34 mm | 1.34 inch,"25,5 mm | 1.0 inch",128 mm | 5.04 inch,,157 mm | 6.18 inch,156 mm | 6.14 inch,155 mm | 6.10 inch,70 mm | 2.76 inch
G19T,"The GLOCK Training pistols were developed for the purpose of enabling reality-based tactical operations training with color marking or plastic bullet ammunition. Designed specifically for use with UTM ammunition, this optic ready pistol offers the same ergonomics and touch-and-feel which officers and soldiers are familiar with their service pistol.
This GLOCK Safe Action training pistol is distinctive blue with a revolutionary slide with polymer inserts in order to make it visually distinct and light weight. This distinctive color keeps the training pistol from being mistaken for a live fire weapon.",https://eu.glock.com/en/products/pistols/g19-t-gen5-mos-utm,Training ammunition,Safe Action®,Standard: 15 | Optional: 17,102 mm | 4.02 inch,26 N,without magazine | 465 g | 16.40 oz,with empty magazine | 535 g | 18.87 oz,with loaded magazine** | 605 g | 21.34 oz,185 mm | 7.28 inch,174 mm | 6.85 inch,34 mm | 1.34 inch,"25,5 mm | 1.0 inch",128 mm | 5.04 inch,,157 mm | 6.18 inch,156 mm | 6.14 inch,155 mm | 6.10 inch,70 mm | 2.76 inch
G19T,"The GLOCK Training pistols were developed for the purpose of enabling reality-based tactical operations training with color marking or plastic bullet ammunition. Designed specifically for use with UTM ammunition, this pistol offers the same ergonomics and touch-and-feel which officers and soldiers are familiar with their service pistol. This GLOCK Safe Action  training pistol has a blue frame in order to make it visually distinct. This distinctive color keeps the training pistol from being mistaken for a live fire weapon.",https://eu.glock.com/en/products/pistols/g19-t-utm,Training ammunition,Safe Action®,Standard: 15 | Optional: 17,102 mm | 4.02 inch,28 N,without magazine | 565 g | 19.93 oz,with empty magazine | 635 g | 22.40 oz,with loaded magazine** | 690 g | 24.34 oz,187 mm | 7.36 inch,174 mm | 6.85 inch,32 mm | 1.26 inch,"25,5 mm | 1.0 inch",128 mm | 5.04 inch,,153 mm | 6.02 inch,152 mm | 5.98 inch,151 mm | 5.94 inch,"71,2 mm | 2.80 inch"
G45T,"The GLOCK Training pistols were developed for the purpose of enabling reality-based tactical operations training with color marking or plastic bullet ammunition. Designed specifically for use with either FX®/FOF or UTX ammunition, this optic ready pistol offers the same ergonomics and touch-and-feel which officers and soldiers are familiar with their service pistol.
This GLOCK Safe Actiontraining pistol is distinctive blue with a revolutionary slide with polymer inserts in order to make it visually distinct and light weight. This distinctive color keeps the training pistol from being mistaken for a live fire weapon.",https://eu.glock.com/en/products/pistols/g45-t-mos-fx-fof,Training ammunition,Safe Action®,Standard: 17 | Optional: 19,102 mm | 4.02 inch,26 N,without magazine | 470 g | 16.58 oz,with empty magazine | 550 g | 19.40 oz,with loaded magazine** | 620 g | 21.87 oz,189 mm | 7.44 inch,174 mm | 6.85 inch,34 mm | 1.34 inch,"25,5 mm | 1.0 inch",139 mm | 5.47 inch,,157 mm | 6.18 inch,156 mm | 6.14 inch,155 mm | 6.10 inch,70 mm | 2.76 inch
G45T,"The GLOCK Training pistols were developed for the purpose of enabling reality-based tactical operations training with color marking or plastic bullet ammunition. Designed specifically for use with UTM ammunition, this optic ready pistol offers the same ergonomics and touch-and-feel which officers and soldiers are familiar with their service pistol.
This GLOCK Safe Action training pistol is distinctive blue with a revolutionary slide with polymer inserts in order to make it visually distinct and light weight. This distinctive color keeps the training pistol from being mistaken for a live fire weapon.",https://eu.glock.com/en/products/pistols/g45-t-mos-utm,Training ammunition,Safe Action®,Standard: 17 | Optional: 19,102 mm | 4.02 inch,26 N,without magazine | 470 g | 16.58 oz,with empty magazine | 550 g | 19.40 oz,with loaded magazine** | 620 g | 21.87 oz,189 mm | 7.44 inch,174 mm | 6.85 inch,34 mm | 1.34 inch,"25,5 mm | 1.0 inch",139 mm | 5.47 inch,,157 mm | 6.18 inch,156 mm | 6.14 inch,155 mm | 6.10 inch,70 mm | 2.76 inch
